text,label
chất_lượng đồng_ý nhận hàng quá lâu,4
thật_sự nói giao hàng rất nhanh áo rấp đẹp nếu chất_lượng này giá khoản 150 k 200 k,4
đang đợi cuối tuần mẹ mình về thử nếu mẹ thích sẽ mua thêm tốt tốt tốt,4
vài chỗ sét nhưng vẫn đánh_giá cao vì shop nhiệt_tình,4
nản,1
áo đẹp nè bạn,2
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn shop phục_vụ rất tốt rất đáng tiền thời_gian giao hàng rất nhanh_ngàn shop luôn,2
đẹp lại rẻ,2
không đáng tiền,1
size áo rộng quá,3
ốp đẹp lắm có_điều không bo khít vào thân_máy lắm,0
hơi nhẹ,0
shop nói chỉ còn màu hồng giao hàng màu xanh,1
rất đáng tiền,4
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn rất đáng tiền vải đẹp quá mình sẽ ủng_hộ shop hoài,2
đóng_gói sản_phẩm rất đẹp chắc_chắn chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn shop phục_vụ rất tốt đóng_gói sản_phẩm rất đẹp chắc_chắn đóng_gói sản_phẩm rất đẹp chắc_chắn đóng_gói sản_phẩm rất đẹp chắc_chắn đóng_gói sản_phẩm rất đẹp chắc_chắn,2
mọi người yên_tâm mua nhé,2
áo đẹp chất đẹp nhưng hơi móng xíu,4
công_dụng tốt nhưng hao quá,0
mơi mua vê chưa kiêp măt nưa_day kéo hư rôi,1
giao không đúng size_chat không trả_lời,1
giao không đúng mẫu đã chọn,3
thời_gian giao hàng rất nhanh chất_lượng sản_phẩm tuyệt_vời,2
chất_lượng sản_phẩm tuyệt_vời nhung nguoi giao lay_them 10 nghin so voi gia phai_tra ka123,4
bạn chủ_shop nhiệt_tình khách còn được tặng quà nữa cười_lớn,2
shop phục_vụ rất tốt rất đáng tiền,2
chất_lượng sản_phẩm tuyệt_vời,2
chất_lượng sản_phẩm tuyệt_vời,2
vào mở bịch bị chuột mâm ý,1
thời_gian giao hàng rất nhanh,4
chất_lượng sản_phẩm tuyệt_vời mới đặt xíu nữa đuoc thông_báo đã giao hàng ngươi giao nhưng đến tay mình lại rất lâu nhấn_mạnh_cảm_xúc,0
hàng rất đẹp dày dặn,2
like,2
miếng khô tô quá,4
đóng_gói sản_phẩm rất đẹp chắc_chắn thời_gian giao hàng rất nhanh,2
chất_lượng sản_phẩm tuyệt_vời vải dày đẹp hơn mong_đợi,2
chất vải dày thích_hợp mùa thu đông này,4
form áo xấu,3
quá đẹp về thắt dây lại,2
đặt sz 38 nhưng trên áo sz 36 may không quá chật,4
chỉ al15 loại kéo khóa cỡ m rất chật,1
nói đổi lại không thấy,1
đóng_gói sản_phẩm rất đẹp chắc_chắn shop phục_vụ rất tốt,2
âm nghe ổn to nhưng 4 sao thui dùng 1 tháng xem chất_lượng không rồi mới sửa 5 sao,4
chất_lượng sản_phẩm tạm được,4
nhưng nói gì bi giờ,0
quần_đùi thô hoa nhí hơi chật cứng,3
chị chủ_shop tư_vấn nhiệt_tình,2
đẹp nhưng hơi mỏng ạ,4
đóng_gói sản_phẩm chắc_chắn thời_gian giao hàng nhanh,2
áo chỉ chất_thun lạnh bình_thường chứ không lót_nỉ sản_phẩm phù_hợp giá tiền 29 000 đ,0
hình đẹp nhấn_mạnh_cảm_xúc,2
chất vải dày dặn,2
hàng tốt tuy_nhiên vẫn còn sợi chỉ dư ở cổ_tay_áo,4
chất_lượng sản_phẩm tuyệt_vời nhưng size hơi nhỏ so bình_thường,4
shop giao thiếu 1 c nhưng đã hoàn tiền,4
vài lỗi nho_nhỏ đường may không đáng_kể,4
túi_xách đẹp,2
chất đẹp ấm mặc thik lắm,2
chất_lượng sản_phẩm rất kém_dáng váy xấu,1
cảm_thấy rất an_tâm khi dùng,4
chất len lại đẹp dày_dặn nữa,4
đẹp,4
sản_phẩm chất_lượng rất kém không dám mặc sợ rách nhấn_mạnh_cảm_xúc,1
chất_lượng sản_phẩm tuyệt_vời shop phục_vụ rất tốt,2
cơ vẫn đồng_ý,2
áo hơi nhỏ không rộng hình,3
thế sợ bể_ly không sợ hỏng sữa hả shop nghi_ngờ_cảm_xúc,1
bỏ merries dùng pampers thôi,4
shop nên chọn size vì đặt mua xog shop đưa size nhỏ nên không vừa,3
rất đáng tiền vải oki bạn nào đùi to nên mua loại váy phủ_gối thế_này mặc không bị tự_ti nữa_đầm ôm_dáng thun co_giãn được eo dây_cột có_thể tùy_chỉnh nên cũng dễ người mặc nên mua bạn nhé nhấn_mạnh_cảm_xúc,2
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn shop phục_vụ rất tốt thời_gian giao hàng rất nhanh,2
chất_lượng sản_phẩm tuyệt_vời,4
giao sai_mã hàng,0
lần thứ 2 mua son ở shop,4
đóng_gói sản_phẩm tạm được đóng_gói sản_phẩm chắc_chắn,4
áo mặc xinh,4
áo mỏng đã vậy còn 2 chỗ bẩn,1
vải đồng_ý,4
sản_phẩm bị bẩn không đáng tiền,3
shop phục_vụ rất kém chất_lượng sản_phẩm rất kém rất không đáng tiền giao thiếu hàng còn nói lần sau đặt_hàng bù lại chắc còn đặt lần sau,1
áo vải mịn sai l to quá nữ mặc hơi rộng,0
sàn_phẩm tốt lại kèm quà tặng,4
lần đầu mua y_như bị lừa vậy gọi không nghe máy,3
quần đẹp quá nên ủng_hộ thêm lần nữa,2
sản_phẩm màu đậm xanh_lét màu mực vậy trông ghê,1
không đáng tiền quần size m size l chất vải xấu,1
chất da cá_dày dặn,0
cái này dày hơn màu trắng may cẩn_thận hơn,4
rất không đáng tiền shop phục_vụ rất kém,1
chất_lượng sản_phẩm tuyệt_vời rất thích,2
chất_lượng sản_phẩm kém lỗi nhiều,1
yêu shop,4
chất_lượng sản_phẩm tốt,4
mình ưng lắm sẽ tiếp_tục ủng_hộ shop,4
chất_lượng sản_phẩm tuyệt_vời đẹp rất hài_lòng,2
thật đẹp quá,4
áo dễ_thương màu chuẩn thun mỏng_mát nhưng sẽ dễ đổ lông,3
chất_lượng sản_phẩm tốt giống y_hệt hình_shop tư_vấn rất nhiệt_tình giao hàng rất nhah sẽ ủng_hộ shop nhiều,2
áo bị ố cổ_tay_áo hơi bẩn,3
hàng đẹp,4
ăn hết sẽ mua tiếp,0
khá tốt hướng_dẫn tiếng việt càng tốt,4
chất_lượng dịch_vụ bán hàng tôt,2
chất_lượng sản_phẩm tạm được,4
màu áo sơmi ở ngoài không đậm hình nhưng bù lại chất_áo khá đẹp nên nói_chung ưng yêu_thích,2
lót to dày,0
đóng_gói sản_phẩm rất đẹp chắc_chắn thời_gian giao hàng rất nhanh_váy không quần trong hơi mỏng nhưng đồng_ý,0
túi đẹp lắm luôn,2
màu áo ở ngoài đẹp chất len khá ổn,4
chất đồng_ý_hợp giâ tiền lắm 43 kg mặc vừa in giao hàng rất nhanh quần_xinh lắm ạ,4
mình mua sản_phẩm chất giống ảnh gói hàng đẹp giao hàng nhanh giá_cả hợp_lý,4
mua cả 3 mẫu áo_len shop mẫu nào cũng ưng hết nhấn_mạnh_cảm_xúc,4
chất_lượng sản_phẩm tuyệt_vời,2
hóa ra dài tay,3
rat dep,2
vải hơi mỏng kiểu_dáng đồng_ý,0
chất vải đẹp hàng giống hinh_shop tư_vấn nhiệt_tình,2
hàng đẹp giá rẻ chủ_shop nhiệt_tình sẽ tiếp_tục ủng_hộ,4
chất kem loãng,3
nên mua,2
rất đáng tiền,2
siêu đẹp luôn nè,2
đóng_gói sản_phẩm rất đẹp chắc_chắn thời_gian giao hàng rất nhanh,2
fom lần này nhỏ hơn quần dài trc m lấy mặc hơi bó bụng hơi_kích,0
phân_vân màu mãi cuối_cùng chọn đen,4
rất rất rất hài_lòng lần đầu_tiên shop làm mình hài_lòng đến vậy sản_phẩm rất chi đồng_ý,2
chất_lượng sản_phẩm tuyệt_vời nhấn_mạnh_cảm_xúc,4
giày đẹp nhe nhấn_mạnh_cảm_xúc,4
có_điều áo hơi ngắn hơn ảnh nhấn_mạnh_cảm_xúc,0
order không hàng không báo khách_hàng,0
áo rất đẹp anh_chị shop rất nhiệt_tình đóng_gói rất đẹp cảm_ơn anh_chị shop,2
kiểu không mong_muốn,3
đóng_gói sản_phẩm rất đẹp chắc_chắn shop phục_vụ rất tốt thời_gian giao hàng rất nhanh,2
màu son_đẹp tự_nhiên,2
giá_cả chấp_nhận được,0
thời_gian giao hàng rất nhanh,0
lớp lót chuẩn,4
đáng_lẽ 4 sao thôi vì sản_phẩm nhận được không giống mô_tả,0
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn shop phục_vụ rất tốt_shop phục_vụ rất tốt rất đáng tiền,2
hi_nh 2 so c nhưng nhâ_n được a o_la 3 so c,3
giảm mụn hẵn,2
không uổng_công mua hàng nhấn_mạnh_cảm_xúc,4
đóng_gói sản_phẩm rất đẹp chắc_chắn,2
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp rất đáng tiền thời_gian giao hàng rất nhanh,2
đã nhận được hàng giao thiếu cái váy nt shop không trã lời hình_thức giống lừa_đảo quá,1
rất đáng tiền tuyệt_vời,2
áo đẹp giao hàng rất nhanh,4
đóng_gói sản_phẩm rất đẹp chắc_chắn shop phục_vụ rất tốt thời_gian giao hàng rất nhanh chất_lượng sản_phẩm tuyệt_vời,2
thank shop nhấn_mạnh_cảm_xúc,2
cuc tot,2
cũg tạm được nhưg hình_ảnh túi nhận được hàg không lấy màu trắng đỏ_nhưg 2 chất vải khác nhau hoàn_toàn mog shop đăng_ảnh nào sản_phẩm cug giống ảnh,3
đặt quả a giao b,4
đóng_gói sản_phẩm rất đẹp chắc_chắn rất đáng tiền rất đáng tiền,2
balo đẹp vải đồng_ý,2
không bám môi,4
tôi xin cảm_ơn chủ_shop mong_shop luôn nhiều khách_hàng vì đây shop đáng tin_cậy tuyệt_vời tốt,2
điện_thoại hẹn không gửi card lại,1
thiếu nhiều miếng dán,3
đeo tức mắt,0
chất_lượng sản_phẩm rất kém không giống trong hình,1
áo xinh_lắmm,4
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn shop phục_vụ rất tốt rất đáng tiền thời_gian giao hàng rất nhanh,2
shop phục_vụ rất tốt giao hàng chậm hơn mong_đợi,0
nhưng đóng_gói hàng ẩu,3
mình sẽ ủng_hộ tiếp,4
chủ shop cực dễ_thương còn viết cả thư_tay ôi kute vãi tuyệt_vời tuyệt_vời tuyệt_vời mua hàng còn được tặng quà cơ,2
shoppe nên kiểm_tra chất_lượng sản_phẩm,3
sản_phẩm không mô_tả hồng_sen không phải hồng_cam,1
phù_hợp giá tiền,0
vận_chuyển đóng_gói kỹ_càng,4
sản_phẩm oki chị chủ tư_vấn nhiệt_tình,2
shop phục_vụ rất tốt đóng_gói sản_phẩm rất đẹp chắc_chắn,2
lấy 10 chiếc 3 cái không phải len_tăm,0
màu đẹp chất_lượng tốt giá quá rẻ,2
mua shop nhiều lần lần nào áo_chất cũng đẹp quá đi,2
váy siêu_xinh chủ_shop dễ_thương lắm luôn,2
chất_lượng sản_phẩm tuyệt_vời,2
vì sai_sót shop,1
thời_gian giao hàng rất nhanh,4
giá_cả rẻ,4
giao hang nhanh chất_lượng,2
áo bên shop đẹp lắm mh rất ưng_yk sẽ ủng_hộ shop nhiều hơn_nữa,2
mũ mỏng,3
ba lô phù_hợp vs giá tiên hình,0
từ khi mua đồ trên mạng thấy lần này đồng_ý nhất,2
đường chỉ cúc áo bị rùm không mặc được,3
chất vải dày nóng,1
cái l_bèo nhèo lại còn mỏng buồn_bã,0
vải êm_mặc đẹp,4
hàng_không giống hình_mẫu mặc 1 kiểu hàng giao 1 kiểu trời ơi,1
đóng_gói sản_phẩm rất đẹp chắc_chắn,4
san phâ m đẹp,4
mùi dễ_chịu cảm_giác mát_mát thik cực,4
tốt nhưng đầu_chải khó vệ_sinh quá,3
sẽ ủng_hộ shop dài dài,2
a o đe p lă mmmm a e ca m ơn chi iiiii,2
váy đẹp cả chất lượng,2
đóng_gói sản_phẩm rất đẹp chắc_chắn thời_gian giao hàng rất nhanh thời_gian giao hàng rất nhanh rất đáng tiền đóng_gói sản_phẩm rất đẹp chắc_chắn,2
lần đầu dùng son maybeline rất ấn_tượng,2
con mình rất thik,2
thời_gian giao hàng rất nhanh rất đáng tiền chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn shop phục_vụ rất tốt,4
shop phục_vụ rất tốt,2
mẫu_mã nhyw_hình,2
đèn sáng tốt,2
nhưng chất_liệu vải đồng_ý,4
hàng đẹp hình,4
shop phục_vụ rất tốt,2
mầu không được sáng trắng vẫn pha vàng hối_hận khi mua sản_phẩm này,1
ao nho_ma ngan_lam nhan_tin shop shop không tra_loi,0
chất_lượng đúng số tiền 8 k mỏng,4
sản_phẩm hợp vs giá_thành shop phục_vụ tốt,2
sản_phẩm tốt,0
mang bị hở_gót đóng_gói sản_phẩm rất đẹp chắc_chắn rất đáng tiền thời_gian giao hàng rất nhanh,4
túi rất đẹp đóng_gói cẩn_thận,2
mình đặt màu đen lại giao màu trắng,1
hợp giá tiền,2
váy đẹp nhưng shop tư_vấn nhầm size,0
chất_lượng sản_phẩm tuyệt_vời yêu_thích đóng_gói sản_phẩm rất đẹp chắc_chắn yêu_thích thời_gian giao hàng rất nhanh,2
đóng_gói hơi bựa sản_phẩm tốt giao hàng bình_thường ủng_hộ tiếp lần nữa nhấn_mạnh_cảm_xúc,0
hàng ưng lắm cám_ơn shop_nha thấy mẹ mặt ưng_ý vui ghê_quần dài chuẩn_from cả bộ đồng_thanh đẹp hộp hàng y_hình chỉ tiếc mổi viêc phải chi_shop bán nhìu mẩu đơn_giản vậy mua được nhìu ùi chật_lượng đồng_ý vải đẹp,4
chất không phải cotton 100 mặc mùa hè sẽ nóng m 58 kg mua size xl thấy to bạn 60 kg mặc l vẫn vừa giá hàng vẫn đồng_ý m vẫn 5,2
giao hàng nhanh,4
nhận được hàng hài_lòng hơn sự mong_đợi,2
cổng tai nghe 3 5 đằng trc_cắm không nhận mặc_dù đã cắm đúng dây vô main,1
áo đẹp hơi mỏng ạ,4
chất_lượng sản_phẩm tốt,2
giao hàng nhanh chất vải tốt,4
chất_lượng sản_phẩm tuyệt_vời shop nhiet tinh_lay hàng lần nào cũng đồng_ý hết,2
ngoài còn đẹp_hon trong hình,2
nói_chung đồng_ý,4
sai độ dài,1
tuy v m thấy vẫn hơi mỏng thấy nội_y,0
shop phục_vụ rất tốt thời_gian giao hàng rất nhanh,2
hàng giao_hơi chậm,3
hàng đóng_gói cẩn_thận giá tốt chủ_shop dễ_thương,4
đóng_gói sản_phẩm rất đẹp hài_lòng shop,4
mui thom de chi_u,4
chất_lượng sản_phẩm tuyệt_vời mỗi tội hơi dài tí,4
mỗi tội from_hoi xấu,3
áo đẹp chất mặc siêu_thích luôn,2
sản_phẩm giống mô_tả mặc_dù ở phần nút khoét lỗ còn bị chỉ thừa_hơi nhiều,4
chất màu đẹp vừa không mk chưa thử,4
chất_lượng sản_phẩm tuyệt_vời ao dep_lam shop,2
tuyệt_vờiiiii,2
hàng đẹp quá shop,4
đã mua liền 3 cái sẽ ủng_hộ shop dài dài,2
ủng_hộ shop dài_dài tuyệt_vời tuyệt_vời tuyệt_vời,2
áo rất đẹp chất_lượng tuyệt_vời,4
tgian giao hàng nhanh,2
mang nhẹ mát,4
vừa mặc được 1 2 tiếng đã bị xù lông,1
chất đồng_ý shop ạ mk tin tg shop,4
so áo_dạ áo hơi mỏng,3
shop uy_tín từ a tới z,0
đóng_gói sản_phẩm rất đẹp chắc_chắn,4
đây lần thứ 2 mình mua shop rồi dự sẽ ủng_hộ shop lâu_dài,4
dáng áo đồng_ý,0
váy mỏng thôi,3
shop nhiệt_tình gọi điện khách đổi màu đã hết,2
chất chơi người dơi luôn,4
đóng_gói sản_phẩm rất đẹp chắc_chắn,2
vai chật_dù mk gầy,4
áo rất đẹp chủ_shop cũng rất dễ_thương nhiệt_tình,2
đặt đen giao xanh,3
nỉ ấm dày,2
sản_phẩm tốt mình hài_lòng tuy_nhiên đóng_góp chưa đẹp lắm cải_thiện việc đóng_gói nữa oke,0
chất_lượng sản_phẩm tốt_shop phục_vụ rất tốt,2
hàng giống hình form hơi rộng so mình,4
thun co_giản tốt,4
shop giao hàng nhanh đúng size đúng màu,2
đóng_gói sản_phẩm rất đẹp chắc_chắn,2
màu không giống_hình thiếu mấy màu mình thik nhưng chất_lượng vẫn đồng_ý,4
màu giống hình giao hàng chậm,4
sản_phẩm đẹp i_hình tg giao_hơi lâu_xíu,2
áo đẹp,4
shop gửi hàng không dây nối điện chờ giải_thích chưa thỏa đáng,1
giao sai màu,3
màu xấu,3
chất_lượng sản_phẩm tuyệt_vời,2
chất_lượng sản_phẩm tuyệt_vời,2
chất_lượng sản_phẩm tuyệt_vời nhưng giao sz màu rất đáng tiền,4
hợp giá tiền cảm_ơn shop nhe,2
giao hàng nhanh sản_phẩm đúng qc thời_gian giao hàng nhanh,2
shop dễ_thương giao hàng cũng nhanh nữa đồ_thù đẹp khỏi chê_chất dày dặn vui_vẻ,2
đóng_gói sản_phẩm rất đẹp chắc_chắn,2
quần chất_thích lắm ạ,4
mình rất thích,2
xinh lắm shop ơi nhấn_mạnh_cảm_xúc,2
chúc shop buôn_bán đắt,4
mùi thơm mình rất thích sẽ tiếp_tục mua tiếp a,2
nhưng chất_liệu vãi oke vừa đúng giá_cả,0
giao ha ng không đu,1
nhầm size,0
áo chất đẹp nhưng áo_ngắn so mình,0
đáng yêu thật_sự cười_lớn,2
áo đẹp bạn mình thấy đẹp nhờ mua hộ rất ưng,4
phù_hợp giá tiền,4
chất_lượng sản_phẩm tạm được dễ rách,0
shop rất chiều khách bán hàng rất uy_tín chất_lượng sản_phẩm hài_lòng sẽ tiếp_tục ủng_hộ shop,2
thời_gian giao hàng rất nhanh thời_gian giao hàng rất nhanh thời_gian giao hàng rất nhanh thời_gian giao hàng rất nhanh thời_gian giao hàng rất nhanh,2
quần mặc rất đồng_ý ae ạ,4
nhưng áo to quá,1
bán hàng kiểu đéo gì êm vs_hợp tuối tiền quá vậy number 1,2
sản_xuất tháng 12 2017 bây_giờ t10 2018 mùi nghe hắc lắm,1
thi moi vua a,0
hàng đẹp vải tốt lắm ạ yêu_thích,2
váy đẹp nhấn_mạnh_cảm_xúc,4
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn,2
co giãn đẹp shop kỹ tư_vấn nhiệt_tình rất ưng_ý luôn cảm_ơn shop nhiều nhiều,4
áo giống mẫu chất_okiiiii phù_hợp giá tiền,0
